BN_341	BN_342	BN_343	BN_344
ENSRNOG00000001161	209	232	105	85
ENSRNOG00000001163	561	592	427	265
ENSRNOG00000001167	4	2	4	5
ENSRNOG00000001169	60	88	136	89
ENSRNOG00000001171	1186	1258	488	436
ENSRNOG00000001172	751	665	428	365
ENSRNOG00000001173	84	65	64	49
ENSRNOG00000001174	17	23	12	4
ENSRNOG00000001177	6616	6109	3853	2162
ENSRNOG00000001178	271	259	214	116
ENSRNOG00000001181	125	139	67	52
ENSRNOG00000001182	3420	3371	10657	6612
ENSRNOG00000001183	837	728	601	253
ENSRNOG00000001184	234	220	145	99
ENSRNOG00000001185	306	346	191	143
ENSRNOG00000001187	435	494	210	92
ENSRNOG00000001189	1410	2112	1259	578
ENSRNOG00000001190	589	689	751	500
ENSRNOG00000001191	142	191	87	49
ENSRNOG00000001192	91	72	65	29
ENSRNOG00000001193	2	4	1	2
ENSRNOG00000001194	268	379	161	106
ENSRNOG00000001195	5	5	4	3
ENSRNOG00000001198	22	16	11	3
ENSRNOG00000001199	508	437	305	196
ENSRNOG00000001201	1884	2344	1484	848
ENSRNOG00000001203	809	865	425	291
ENSRNOG00000001204	819	938	551	402
ENSRNOG00000001205	1566	1412	962	496
ENSRNOG00000001210	660	727	412	292
ENSRNOG00000001211	4595	4562	2196	1397
ENSRNOG00000001214	2994	2806	1369	854
ENSRNOG00000001215	192	167	120	72
ENSRNOG00000001216	1678	1637	880	647
ENSRNOG00000001217	14	11	13	4
ENSRNOG00000001219	3	1	0	2
ENSRNOG00000001222	711	1012	644	449
ENSRNOG00000001223	7353	7295	4670	2819
ENSRNOG00000001224	3031	4012	7896	4474
ENSRNOG00000001225	472	489	1039	528
ENSRNOG00000001227	192	214	308	251
ENSRNOG00000001228	237	227	196	105
ENSRNOG00000001229	26831	24429	21613	9677
ENSRNOG00000001232	98	102	59	43
ENSRNOG00000001237	656	570	766	432
ENSRNOG00000001238	1043	1285	601	464
ENSRNOG00000001239	17555	17465	9864	6502
ENSRNOG00000001241	103	103	59	36
ENSRNOG00000001242	13841	15255	9308	5089
ENSRNOG00000001243	574	526	314	202
ENSRNOG00000001245	32	45	17	23
ENSRNOG00000001247	1909	1804	962	730
ENSRNOG00000001249	4808	4979	4340	2141
ENSRNOG00000001250	165	178	363	143
ENSRNOG00000001252	44	39	27	12
ENSRNOG00000001253	4905	5025	2494	1740
ENSRNOG00000001254	2814	2954	2610	1269
ENSRNOG00000001255	115	110	171	97
ENSRNOG00000001256	3187	2731	1577	1088
ENSRNOG00000001258	426	539	768	442
ENSRNOG00000001259	18	19	13	8
ENSRNOG00000001260	149	147	79	45
ENSRNOG00000001261	21513	16683	9775	5911
ENSRNOG00000001265	1147	1036	568	346
ENSRNOG00000001269	2154	2495	1404	1133
ENSRNOG00000001270	102	100	283	115
ENSRNOG00000001271	1700	1479	1060	597
ENSRNOG00000001272	931	988	530	433
ENSRNOG00000001273	487	605	318	219
ENSRNOG00000001274	2641	2857	1844	1230
ENSRNOG00000001275	144	131	94	70
ENSRNOG00000001276	481	514	299	158
ENSRNOG00000001277	177	272	191	101
ENSRNOG00000001278	532	511	803	593
ENSRNOG00000001283	836	900	501	286
ENSRNOG00000001285	16397	15970	8482	7094
ENSRNOG00000001289	216	279	262	160
ENSRNOG00000001293	828	817	486	375
ENSRNOG00000001294	273	272	184	128
ENSRNOG00000001296	939	923	871	378
ENSRNOG00000001297	64	47	33	21
ENSRNOG00000001299	544	506	307	173
ENSRNOG00000001300	1574	1695	1273	776
ENSRNOG00000001302	57	55	63	32
ENSRNOG00000001303	581	556	272	273
ENSRNOG00000001304	480	484	578	354
ENSRNOG00000001309	133	110	52	50
ENSRNOG00000001311	0	6	0	2
ENSRNOG00000001312	22	39	69	40
ENSRNOG00000001314	507	368	230	127
ENSRNOG00000001316	2001	2143	1405	980
ENSRNOG00000001317	425	381	266	220
ENSRNOG00000001323	61	53	131	63
ENSRNOG00000001325	163	228	186	81
ENSRNOG00000001329	44	52	30	19
ENSRNOG00000001331	169	168	150	95
ENSRNOG00000001333	30413	27177	50684	31445
ENSRNOG00000001335	673	661	459	281
ENSRNOG00000001336	526	582	1614	857
ENSRNOG00000001337	648	529	439	185
ENSRNOG00000001338	36819	39400	17032	13669
ENSRNOG00000001339	1199	1012	724	460
ENSRNOG00000001341	145	177	113	67
ENSRNOG00000001344	115862	111851	69509	38808
ENSRNOG00000001345	260	241	162	150
ENSRNOG00000001346	2888	3247	1846	1296
ENSRNOG00000001348	2548	2184	1595	1041
ENSRNOG00000001349	932	891	534	364
ENSRNOG00000001350	780	850	438	337
ENSRNOG00000001351	1120	1170	821	474
ENSRNOG00000001352	729	777	388	245
ENSRNOG00000001353	217	243	164	98
ENSRNOG00000001355	451	387	271	182
ENSRNOG00000001357	47	41	38	28
ENSRNOG00000001369	674	602	288	136
ENSRNOG00000001375	5	12	5	0
ENSRNOG00000001376	4772	5191	3969	1699
ENSRNOG00000001377	882	1040	529	331
ENSRNOG00000001378	3	0	1	2
ENSRNOG00000001379	240	275	205	172
ENSRNOG00000001383	498	408	374	153
ENSRNOG00000001385	3392	3044	2827	1496
ENSRNOG00000001387	5	18	9	3
ENSRNOG00000001388	963	649	376	256
ENSRNOG00000001389	281	206	568	693
ENSRNOG00000001391	974	872	524	289
ENSRNOG00000001396	641	488	340	196
ENSRNOG00000001397	402	458	369	287
ENSRNOG00000001402	514	508	343	169
ENSRNOG00000001404	1419	1267	800	606
ENSRNOG00000001407	18152	17791	14016	7948
ENSRNOG00000001409	5031	5144	3262	2022
ENSRNOG00000001410	444	405	267	111
ENSRNOG00000001414	85	62	38	28
ENSRNOG00000001415	1720	1842	1023	717
ENSRNOG00000001417	1902	1559	1267	710
ENSRNOG00000001418	925	1071	565	318
ENSRNOG00000001419	41	37	20	11
ENSRNOG00000001420	1500	1466	882	635
ENSRNOG00000001424	543	627	1541	1215
ENSRNOG00000001425	35	78	41	31
ENSRNOG00000001426	274	218	247	195
ENSRNOG00000001427	19	20	13	8
ENSRNOG00000001428	42	60	40	30
ENSRNOG00000001429	655	553	396	219
ENSRNOG00000001430	1006	1029	677	474
ENSRNOG00000001431	113	112	173	82
ENSRNOG00000001432	91	84	53	27
ENSRNOG00000001435	43	26	21	16
ENSRNOG00000001436	3688	4465	2403	1572
ENSRNOG00000001440	14242	13769	20071	13183
ENSRNOG00000001441	256	248	167	130
ENSRNOG00000001442	6145	6929	16216	10205
ENSRNOG00000001443	95	67	117	92
ENSRNOG00000001448	331	360	231	137
ENSRNOG00000001449	262	300	211	124
ENSRNOG00000001450	266	246	176	88
ENSRNOG00000001453	1767	1894	1519	1082
ENSRNOG00000001454	4892	5426	3004	1894
ENSRNOG00000001455	331	280	185	153
ENSRNOG00000001456	1279	1461	841	623
ENSRNOG00000001457	406	399	233	166
ENSRNOG00000001465	99	95	93	64
ENSRNOG00000001466	74	116	66	31
ENSRNOG00000001469	3962	2647	2197	1195
ENSRNOG00000001470	47	41	30	19
ENSRNOG00000001476	11	16	17	7
ENSRNOG00000001478	27	33	18	8
ENSRNOG00000001479	5517	5618	26945	18899
ENSRNOG00000001480	300	352	227	157
ENSRNOG00000001483	628	576	283	170
ENSRNOG00000001484	122	119	70	53
ENSRNOG00000001488	9582	10793	5832	4276
ENSRNOG00000001489	150	160	122	72
ENSRNOG00000001490	641	747	1710	1197
ENSRNOG00000001493	637	593	347	204
ENSRNOG00000001494	4041	4220	2570	1690
ENSRNOG00000001500	254	324	187	126
ENSRNOG00000001501	325	337	198	133
ENSRNOG00000001506	2	2	2	0
ENSRNOG00000001512	5	0	0	0
ENSRNOG00000001514	184	175	154	83
ENSRNOG00000001515	565	660	1296	878
ENSRNOG00000001516	1267	1968	1310	744
ENSRNOG00000001517	1332	1161	4876	3465
ENSRNOG00000001518	1099	1181	2258	1453
ENSRNOG00000001524	1498	1587	792	610
ENSRNOG00000001525	640	544	370	270
ENSRNOG00000001527	1	3	2	3
ENSRNOG00000001531	960	787	569	311
ENSRNOG00000001544	161	183	159	96
ENSRNOG00000001547	435	496	666	447
ENSRNOG00000001548	6839	5938	3697	2584
ENSRNOG00000001554	640	528	472	271
ENSRNOG00000001555	34	65	36	26
ENSRNOG00000001557	3920	4602	3095	2160
ENSRNOG00000001559	1144	1079	1400	993
ENSRNOG00000001571	5	3	4	1
ENSRNOG00000001573	522	546	316	215
ENSRNOG00000001582	1377	1205	782	429
ENSRNOG00000001584	4	7	5	3
ENSRNOG00000001585	1197	1446	1008	454
ENSRNOG00000001592	8265	10063	4686	3570
ENSRNOG00000001593	216	244	125	112
ENSRNOG00000001596	21688	23249	38223	25693
ENSRNOG00000001597	670	697	9585	8615
ENSRNOG00000001598	791	937	506	510
ENSRNOG00000001599	495	494	643	365
ENSRNOG00000001602	3309	3188	1997	1268
ENSRNOG00000001603	281	343	187	141
ENSRNOG00000001607	2340	2780	5292	3948
ENSRNOG00000001608	12	21	6	3
ENSRNOG00000001609	133	125	74	47
ENSRNOG00000001611	1960	3058	1418	1035
ENSRNOG00000001613	785	872	514	388
ENSRNOG00000001616	519	609	361	211
ENSRNOG00000001618	651	674	1218	540
